Paragraph,we,data,key,engineering,challenging,do,aspect,example,and,however
1,0,3,0,0,1,0,1,0,0,1
2,1,0,1,0,3,0,0,0,0,2
3,0,2,0,1,1,2,2,2,0,1
4,1,0,1,2,0,0,0,1,1,2
5,3,2,0,0,1,1,0,1,2,0
6,1,2,1,1,2,1,3,1,0,0
7,0,1,0,0,2,0,3,1,1,1
8,2,0,2,3,2,1,1,0,1,2
9,4,2,1,2,0,1,0,1,0,0
10,1,0,1,2,0,3,2,1,2,0
11,1,1,1,0,0,1,0,1,2,0
12,0,3,1,0,2,0,0,2,4,2
13,3,1,1,0,0,0,2,1,1,0
14,5,1,2,2,1,1,0,1,2,0
15,1,4,1,1,3,2,0,0,1,2
16,2,1,1,1,0,2,1,1,0,0
17,0,3,2,1,0,1,1,2,0,2
18,2,0,0,2,1,2,2,1,1,0
19,2,0,0,0,0,1,0,0,3,0
20,2,2,2,1,1,0,1,1,0,1
21,2,0,0,0,0,1,0,1,4,0
22,2,1,2,1,1,0,0,0,1,0
23,1,1,1,0,1,0,0,2,1,0
24,0,0,0,2,0,2,2,0,0,0
25,2,0,0,0,1,0,1,0,0,3
26,1,2,1,0,1,2,1,0,0,1
27,0,2,0,0,0,2,1,0,0,1
28,2,0,2,1,2,1,1,2,1,0
29,3,2,1,1,0,0,0,2,0,1
30,1,1,0,1,0,0,1,1,1,0
31,4,0,0,3,1,1,0,0,2,0
32,2,0,1,1,1,1,4,1,0,2
33,1,2,1,1,1,1,0,0,1,0
34,1,1,2,0,1,0,1,0,2,0
35,1,0,2,0,1,0,2,2,2,0
36,2,3,1,4,2,0,0,0,1,2
37,1,0,0,1,0,1,2,2,0,2
38,1,1,1,1,0,5,1,1,0,3
39,1,2,2,3,0,1,1,0,1,3
40,3,1,3,1,1,0,0,1,1,0
41,2,1,0,0,2,1,1,1,0,0
42,3,0,1,0,1,0,2,0,1,0
43,2,1,1,1,0,1,0,1,0,3
44,1,1,0,1,1,1,1,2,1,2
45,1,0,0,1,0,2,0,3,1,0
46,0,0,0,2,1,0,1,0,0,0
47,5,1,2,0,3,1,0,0,0,1
48,1,1,2,2,3,0,2,0,1,2
49,0,0,2,0,3,2,0,2,0,1
50,5,1,2,1,0,0,1,2,1,0
